CITY,FUND_TYPE,AMOUNT,CITY_TARGET
AKASKA,INCOME_AMT,106735.0,0
AKELEY,INCOME_AMT,2463025.0,0
AKEMOS,INCOME_AMT,0.0,0
AKIN,INCOME_AMT,0.0,0
AKLAHOMA CITY,INCOME_AMT,54903.0,0
AKRON,INCOME_AMT,5209528717.0,0
AKWESASNE,INCOME_AMT,989347.0,0
ALABAMA,INCOME_AMT,0.0,0
ALABASTER,INCOME_AMT,6912838.0,0
ALACHUA,INCOME_AMT,45242730.0,0
ALADDIN,INCOME_AMT,16755.0,0
ALAFAYA,INCOME_AMT,0.0,0
ALAKANUK,INCOME_AMT,0.0,0
ALAMANCE,INCOME_AMT,1616076.0,0
ALAMEDA,INCOME_AMT,677641701.0,0
ALAMO,INCOME_AMT,82665111.0,0
ALAMO HEIGHTS,INCOME_AMT,535523.0,0
ALAMOGORDO,INCOME_AMT,299163364.0,0
ALAMOSA,INCOME_AMT,240695085.0,0
ALANREED,INCOME_AMT,0.0,0
ALANSN,INCOME_AMT,0.0,0
ALANSON,INCOME_AMT,558089.0,0
ALANTA,INCOME_AMT,0.0,0
ALAPAHA,INCOME_AMT,303136.0,0
ALAVARDO,INCOME_AMT,0.0,0
ALBA,INCOME_AMT,31696.0,0
ALBANIA,INCOME_AMT,775926.0,0
ALBANY,INCOME_AMT,16184896313.0,0
ALBANY NY,INCOME_AMT,0.0,0
ALBANY TWP,INCOME_AMT,0.0,0
ALBAQ,INCOME_AMT,0.0,0
ALBEMARLE,INCOME_AMT,154787951.0,0
ALBERS,INCOME_AMT,433995.0,0
ALBERT,INCOME_AMT,0.0,0
ALBERT CITY,INCOME_AMT,341105.0,0
ALBERT LEA,INCOME_AMT,102125110.0,0
ALBERTA,INCOME_AMT,1927847.0,0
ALBERTON,INCOME_AMT,93702.0,0
ALBERTSON,INCOME_AMT,46758723.0,0
ALBERTVILLE,INCOME_AMT,35946139.0,0
ALBIA,INCOME_AMT,19436888.0,0
ALBIN,INCOME_AMT,0.0,0
ALBION,INCOME_AMT,235277718.0,0
ALBO,INCOME_AMT,0.0,0
ALBONY,INCOME_AMT,0.0,0
ALBORN,INCOME_AMT,2677367.0,0
ALBQUERQUE,INCOME_AMT,0.0,0
ALBQUQERQUE,INCOME_AMT,0.0,0
ALBRIGHT,INCOME_AMT,142282.0,0
ALBRIGHTSVILLE,INCOME_AMT,31248.0,0
ALBRIGHTSVLLE,INCOME_AMT,2562.0,0
ALBUD,INCOME_AMT,0.0,0
ALBUFQUERQUE,INCOME_AMT,0.0,0
ALBUGUERPUE,INCOME_AMT,0.0,0
ALBUGUERQUE,INCOME_AMT,0.0,0
ALBUQERQUE,INCOME_AMT,0.0,0
ALBUQUEEQUE,INCOME_AMT,0.0,0
ALBUQUERQUE,INCOME_AMT,5461692158.0,0
ALBUQUERUQUE,INCOME_AMT,0.0,0
ALBURG,INCOME_AMT,0.0,0
ALBURGH,INCOME_AMT,448855.0,0
ALBURNETT,INCOME_AMT,189947.0,0
ALBURQUERQUE,INCOME_AMT,0.0,0
ALBURTIS,INCOME_AMT,1389151.0,0
ALCALDE,INCOME_AMT,0.0,0
ALCESTER,INCOME_AMT,1031635.0,0
ALCOA,INCOME_AMT,15101675.0,0
ALCOLU,INCOME_AMT,307427.0,0
ALCORN,INCOME_AMT,0.0,0
ALCORN STATE,INCOME_AMT,0.0,0
ALCOVA,INCOME_AMT,70960.0,0
ALCOVE,INCOME_AMT,0.0,0
ALDA,INCOME_AMT,1725628.0,0
ALDAN,INCOME_AMT,391895.0,0
ALDEN,INCOME_AMT,3031704.0,0
ALDEN MANOR,INCOME_AMT,0.0,0
ALDER,INCOME_AMT,310171.0,0
ALDERPOINT,INCOME_AMT,0.0,0
ALDERSON,INCOME_AMT,278263.0,0
ALDIE,INCOME_AMT,22962202.0,0
ALDRICH,INCOME_AMT,0.0,0
ALEA,INCOME_AMT,21306.0,0
ALEDO,INCOME_AMT,352360023.0,0
ALEX,INCOME_AMT,152958.0,0
ALEX BAY,INCOME_AMT,31310120.0,0
ALEX CITY,INCOME_AMT,156885544.0,0
ALEXANDER,INCOME_AMT,3817454.0,0
ALEXANDER CITY,INCOME_AMT,1057087.0,0
ALEXANDRA,INCOME_AMT,122556.0,0
ALEXANDRIA,INCOME_AMT,765717375.0,0
ALEXANDRIA BAY,INCOME_AMT,48592.0,0
ALEXIS,INCOME_AMT,1238749.0,0
ALFALFA,INCOME_AMT,1613240.0,0
ALFORD,INCOME_AMT,253473.0,0
ALFRED,INCOME_AMT,196332318.0,0
ALFRED STA,INCOME_AMT,3.0,0
ALFRED STATION,INCOME_AMT,240632.0,0
ALGER,INCOME_AMT,1690585.0,0
ALGERIA,INCOME_AMT,104881.0,0
ALGIERS,INCOME_AMT,0.0,0
ALGODONES,INCOME_AMT,70958.0,0
ALGOMA,INCOME_AMT,5286409.0,0
ALGONA,INCOME_AMT,32339958.0,0
ALGONAC,INCOME_AMT,13542864.0,0
ALGONQUIN,INCOME_AMT,9787114.0,0
ALHAMBRA,INCOME_AMT,437054022.0,0
ALICE,INCOME_AMT,79122389.0,0
ALICEVILLE,INCOME_AMT,336424.0,0
ALICIA,INCOME_AMT,0.0,0
ALIEF,INCOME_AMT,11614131.0,0
ALIES,INCOME_AMT,0.0,0
ALINE,INCOME_AMT,0.0,0
ALIQUIPPA,INCOME_AMT,40268459.0,0
ALISO VIEJO,INCOME_AMT,548457454.0,0
ALISTON,INCOME_AMT,0.0,0
ALKOL,INCOME_AMT,0.0,0
ALLAGASH,INCOME_AMT,0.0,0
ALLAMUCHY,INCOME_AMT,208928.0,0
ALLANDALE,INCOME_AMT,0.0,0
ALLARDT,INCOME_AMT,126410.0,0
ALLEENE,INCOME_AMT,1532.0,0
ALLEGAN,INCOME_AMT,28834074.0,0
ALLEGANY,INCOME_AMT,1352897.0,0
ALLEGHANY,INCOME_AMT,0.0,0
ALLEGHENY,INCOME_AMT,3341016.0,0
ALLEMAN,INCOME_AMT,115336.0,0
ALLEN,INCOME_AMT,306448372.0,0
ALLEN PARK,INCOME_AMT,12688570.0,0
ALLENDALE,INCOME_AMT,22641299.0,0
ALLENHURST,INCOME_AMT,4093624.0,0
ALLENPORT,INCOME_AMT,466141.0,0
ALLENSPARK,INCOME_AMT,922459.0,0
ALLENSTOWN,INCOME_AMT,4940463.0,0
ALLENSVILLE,INCOME_AMT,46772.0,0
ALLENTON,INCOME_AMT,603683.0,0
ALLENTOWN,INCOME_AMT,10967025366.0,0
ALLENWOOD,INCOME_AMT,4398327.0,0
ALLERTON,INCOME_AMT,136928.0,0
ALLEYTON,INCOME_AMT,0.0,0
ALLIANCE,INCOME_AMT,258631898.0,0
ALLIGATOR,INCOME_AMT,30771.0,0
ALLIGATOR PT,INCOME_AMT,0.0,0
ALLISON,INCOME_AMT,35572588.0,0
ALLISON PARK,INCOME_AMT,42280669.0,0
ALLISONIA,INCOME_AMT,0.0,0
ALLONS,INCOME_AMT,0.0,0
ALLOUEZ,INCOME_AMT,0.0,0
ALLOWAY,INCOME_AMT,13533151.0,0
ALLSTON,INCOME_AMT,25430218.0,0
ALLYN,INCOME_AMT,105330.0,0
ALMA,INCOME_AMT,623393288.0,0
ALMA CENTER,INCOME_AMT,0.0,0
ALMENA,INCOME_AMT,977251.0,0
ALMIRA,INCOME_AMT,0.0,0
ALMO,INCOME_AMT,0.0,0
ALMOND,INCOME_AMT,341666.0,0
ALMONT,INCOME_AMT,32556861.0,0
ALMYRA,INCOME_AMT,8715.0,0
ALNA,INCOME_AMT,1373065.0,0
ALOHA,INCOME_AMT,112291085.0,0
ALORTON,INCOME_AMT,0.0,0
ALPAHRETTA,INCOME_AMT,252034.0,0
ALPAUGH,INCOME_AMT,0.0,0
ALPENA,INCOME_AMT,472696190.0,0
ALPHA,INCOME_AMT,2697612.0,0
ALPHARETTA,INCOME_AMT,5675907648.0,0
ALPINE,INCOME_AMT,110949683.0,0
